description,country,variety
Foresty berry and plum aromas turn more stalky as this breathes. Dense chewy and a bit heavy with rubbery tannins this Cabernet-Carmenère blend tastes of stewed plum spiced berry and fig. A mellow herbal finish with mild acidity is full in body and flavor. Drink through 2018.,Chile,Cabernet Sauvignon-Carmenère
Passion fruit lettuce grapefruit and tropical aromas get this Sauvignon Blanc off to a nice start. Zesty speedy and super fresh on the palate with blazing acidity this tastes of passion fruit green herbs and grass especially on a racy slightly pithy finish.,Chile,Sauvignon Blanc
Ripe dense blackberry aromas are lightly herbal soft and inviting. This is full and a touch heavy in feel with herbal cassis blackberry toast and spice flavors that end with oak grain additional herbal notes and spice accents. If you want to explore the world of Carmenère this is a good place to start.,Chile,Carmenère
Strawberry and wet hay aromas give way to a sweet berry-flavored attack but the wine turns tart and almost shrill on the finish. A green stemmy sensation lingers in the mouth along with dark coffee flavors.,Chile,Merlot
This medium weight Chardonnay offered aromas of overripe pineapple and citrus with an odd note somewhere between citrus and varnish. The apple and mild citrus flavors lack vitality and turn overly tart on the finish.,Chile,Chardonnay
Very light berry and mint aromas open this austere dry Cabernet. The fruit is dark but needs more depth and profile to carry the woody presence here.,Chile,Cabernet Sauvignon
A lot of Chilean Cabernets seem to have a distinct weediness to them; this is a perfect example of the style boasting green hay and herb aromas over subdued—almost stewed—cassis fruit. Some tart acidity keeps things lively on the finish.,Chile,Cabernet Sauvignon
Aromas of freshly cut lumber complete with some hints of burning sawdust are joined by caramel and cassis. Medium to full on the palate where some sweet fruit and oak flavors make a decent impression. There's a hint of alcohol poking through on the finish but little else.,Chile,Cabernet Sauvignon
Lavishly oaked the fruit here struggles to make itself acknowledged and when it does it is light plum-cranberry in aroma and flavor. Quite dry on the palate the wine finishes tart with woody tannins.,Chile,Merlot
There's not much point in making a reserve-style wine if the barrels are subpar. Aggressive menthol and sappy green-barrel aromas and flavors dominate this wine. There's good weight and texture just not much in the way of vinous flavor.,Chile,Merlot
A lot of ripe apple creamy butter and pear aromas make for a friendly opening while the palate is plump and weighty with toasty melon citrus and buttered pear flavors. Tropical throughout but with character and toasty spice on the finish. Ready to drink.,Chile,Chardonnay
A blanket of oak sits atop apple aromas. This is healthy and fresh in feel but regular overall. Salty lean lightly oaked white-fruit flavors are briny on a racy finish. This is Chardonnay with 11% Pinot Blanc and Pinot Grigio.,Chile,White Blend
Clos Apalta depending on your point of view is arguably Chile's best wine. And this vintage is outstanding! Earth minty spice ripe berry minerality and smoky aromas cover the bases. It's superbly structured with a fine texture and depth. Tastes lush and complex with blackberry crème de cassis fine herbs and tobacco. Finishes classy. Drink now through 2016.,Chile,Red Blend
Aromas of white peach and apple come with mild oak notes. This feels melony and full with its body weight dictated by tropical fruits. Briny salty tropical fruit and corn flavors finish with a lasting note of oak.,Chile,Chardonnay
This offers aromas of feral berry black olive and bell pepper followed by a black fruit flavor that's touched by a herbal note. It starts out better than it finishes.,Chile,Malbec
This is meaty spicy and bold. It feels fresh clean and slightly astringent with flavors of wild berry and currant that are a bit salinic. The finish is round mossy and full. A blend of 60% Cabernet Sauvignon and 40% Carmenère.,Chile,Cabernet Sauvignon-Carmenère
Earthy rubbery berry and plum aromas are within the range of very good and regular. The palate has tannic grip and roasted lightly herbal flavors of plum and blackberry. Drawing on the finish with good pulse and power. A nice full-bodied mix of Malbec and Cab.,Chile,Cabernet Sauvignon-Malbec
Dense dark and ripe on the bouquet with coconut mint earth blackberry and herbal aromas. The palate is solid but a little sheering due to pointy acidity and the flavor profile is pure toast and herbal black fruits. Lasting and varietally correct on the finish.,Chile,Carmenère
Opens with toast and vanilla aromas along with baked apple and oak. The mouthfeel is solid while the flavors blend barrel resin pear banana and macadamia nut. Finishes healthy and clean.,Chile,Chardonnay
This blend of 75% Cabernet Sauvignon and 25% Merlot smells 100% Chilean meaning there's green tobacco olive eucalyptus and earthy berry aromas draped all over the bouquet. A linear zesty palate ranks as fresh while lightly oaked red currant and plum flavors finish with spice and vanilla notes along with tomatoey acidity.,Chile,Red Blend
Baked bean rubber and lacquer are all too apparent on the nose and while the wine settles in the glass and loses some of that harshness it never totally disappears. Along the way there's driven cherry and plum fruit and a minty aftertaste. Imported by Vinecrest Co.,Chile,Cabernet Sauvignon-Carmenère
Bramble and green tobacco notes are part of the bouquet as is rubbery dark fruit. The palate is smooth in feel but a little herbal and leafy with a mix of berry fruit and mild green notes.,Chile,Cabernet Sauvignon
Hard spice juniper and minty aromas meld with chocolate and blackberry scents. This is chewy and full on the palate with spicy minty blackberry and black currant flavors that finish thick with a woodsy lightly green aftertaste.,Chile,Merlot
Lightly candied cherry and raspberry aromas are fresh. This has a ripe edgy mouthfeel with modest tannins. Cassis raspberry and blackberry flavors finish soft and friendly with enough grip to make this serious.,Chile,Cabernet Sauvignon
Raspberry plum and spice aromas are simple but solid and approachable. In the mouth this blend is grabby and tannic but boosted by good acidity. Flavors of raw oak and related resin are spicy and blanket standard black-fruit flavors while pinching tannins and residual oak are prominent on the finish.,Chile,Cabernet Sauvignon-Carmenère
In every vintage this blend of Cabernet Malbec Merlot and Carmenère gets a little better and the 2005 is the best yet. It's a ripe one for sure with licorice kirsch and earthy warmth on the nose. The body is big and the wine tastes of berry jam licorice and chocolate. Balanced and long with bitter espresso on the finish. Drink now through 2010.,Chile,Red Blend
Kudos to Santa Rita for harnessing the inherent qualities of the '07 vintage and applying them to this very nice Carmenère. The wine is bold and loud but controlled and balanced. It starts with rowdy black fruit and folds in cassis pepper bitter chocolate and some smoked meat and olive. Drink now and over the next year or two.,Chile,Carmenère
Viu 1 is pure Malbec and this rendition is one of the more ripe and jammy versions on record. The color is pitch black the nose is saturated and fully extracted and the feel is almost syrupy. Flavors of prune and blackberry finish heavy and oaky with a lasting note of raisin. Tasted three times with mostly consistent results.,Chile,Malbec
This small-production Syrah from Aconcagua (250 cases) is rosy and rusty in color with leathery roasted almost cheesy aromas of spicy savory berry fruits. The palate shows tomatoey zest along with herbal brambly spicy flavors of plum and raspberry. On the finish this is rooty herbal and tomatoey in flavor with a touch of chocolate and a foresty quality. Drink through 2019.,Chile,Syrah
Herbal aromas teeter on herbaceous with bell pepper rosemary and thyme scents running on top of raspberry and rhubarb. This is full bodied and a bit oaky tasting with campfire herbal berry and roasted flavors. A hot finish with bacon mint and toast is the close.,Chile,Cabernet Sauvignon
Big oaky and toasty on the nose and then zesty and pithy in the mouth with citrus tangerine lemon and not much else. Call it a one-trick pony and get ready for citrusy flavors and little variation on that theme. The good thing is for a Maule Chard it plays its hand right.,Chile,Chardonnay
Not as dark and sticky as many wines of this variety; the nose is defined by cherry and raspberry along with barnyard and animal hide. At first the palate seems sharp and acidic but with time it settles on fuller more creamy cherry and raspberry along with mocha. Narrow on the finish but fresh and forward.,Chile,Carmenère
Tarry gritty earthy aromas of tomato herbs and cherry feed into a juicy hard-driving acidic palate. Flavors of boysenberry and tart currant finish peppery with a hint of cocoa as well as modest heat and scour. This is racy and shows coastal brightness. Drink through 2017.,Chile,Syrah
If you don't mind a touch of herbal pickle and rhubarb on both the bouquet and palate then this inexpensive Carmenère will do the job. It offers modest red plum and herbal flavors with a bit of tartness and spice. Has good texture and overall balance.,Chile,Carmenère
Ripe and earthy aromas of black cherry and blackberry are lush and dense on the nose. The palate follows suit with a full mouthfeel but retains adequate acidity for balance. Flavors of gravel-tinged black fruit baking spice and carob finish ripe and easy. Drink now.,Chile,Syrah
Leesy toasty opening aromas accent melon flower blossom and stone fruit scents. This is woody but healthy in feel with acidic lift. Flavors of resiny briny melon and peach finish with a wave of barrel-driven vanilla but overall this shows coastal freshness and proper balance.,Chile,Chardonnay
Ripe aromas of black cherry and blackberry come with hints of leafy herbs and a shot of alcohol. This four-grape blend is well structured but a touch tannic. Flavors of baked black fruits herbs and olives finish savory with plenty of unabsorbed oak.,Chile,Red Blend
Leathery red berry aromas move to dark fruit after sitting in the glass. This Malbec is jammy in feel but overall it's fresh. Earthy flavors of spiced plum baked berry and salt finish toasty woody and briny.,Chile,Malbec
Celery lettuce and lime aromas are cool and green. This is showing tangy snappy acidity in support of lime tarragon sage and scallion flavors. A fresh racy finish is fitting.,Chile,Sauvignon Blanc
Spicy leafy red-berry aromas open this Carmenère. On the palate this smacks with dry hard tannins. Flavors of herbal cherry and black plum finish with a touch of heat and abrasive yet chewy tannins.,Chile,Carmenère
Ripe rugged leathery berry and plum aromas set up a tight rubbery palate. This tastes good albeit different than your average Malbec—it's a bit citrusy with orange peel and reedy cherry and plum notes. On the finish this clamps down with tannic grip.,Chile,Malbec
Earthy raspberry aromas are basic and friendly. This feels just juicy enough but not too pushy with a medium body and a modicum of elegance. Flavors of baked plum berry and loamy earth finish roasted but largely fruity.,Chile,Syrah
Aromas of citrus green bean and grittiness settle on an even narrower palate which is lemony and linear in feel and tastes like tart citrus mostly grapefruit. Lemon and grapefruit flavors linger on a finish that offers no variation.,Chile,Sauvignon Blanc
Electric purple in color this powerful wine opens with jammy loud aromas of boysenberry and herbal qualities. Likewise spunky berry flavors are herbal in nature. Minty oak and medicinal notes dominate a rubbery long finish.,Chile,Carmenère
Intense compact aromas feed into a big tannic palate with monster fruit that's fairly herbal in character. This is a pounding wine that eschews elegance for black-fruit power and along the way it's rubbery and a bit scratchy.,Chile,Malbec
Some hard scratchiness on the nose announces that this has power and isn't generic. Additional scents of leather olive and roasted berry are typical for a Maipo Cab. In the mouth it's on stride and fresh while flavors of earth vanilla and carob accent generic berry and cassis.,Chile,Cabernet Sauvignon
Round black-fruit aromas are bold and friendly while in the mouth this is grabby and full bodied. Flavors of roasted plum and berry are generous albeit a hint green in the middle while toasty darkness defines the finish which brings a touch of bitterness.,Chile,Merlot
This big jammy Syrah from the Maipo Alto is typically leathery and spicy smelling. The body on this wine is fat and weighty while flavors of buttery oak and spiced berry meld together if given time in the glass. On the finish this is oaky and herbal tasting with a creamy feel.,Chile,Syrah
Earthy baked aromas of ripe berry raisin and leather come with a tobacco note. This is nice given the cold weather that drove the 2011 vintage. Round tannins and overall balance provide bedding for spicy flavors of blackberry herbal notes licorice and oak.,Chile,Carmenère
Koyle Reserva shows the upside of Carmenère while not pushing too hard. Smoky aromas of roasted berry graphite and olive are vociferous yet balanced. A layered meaty palate is home to minty resiny flavors of berry fruits herbs and chocolate while the finish is oaky toasty and attractive.,Chile,Carmenère
More or less clean and neutral on the nose with aromatic notes of peach and apple. The palate is juicy but sort of jumpy with flavors of orange pithy bitterness and roast corn. Good in this price range but seemingly on its way to being past its prime.,Chile,Chardonnay
This electric-pink rosé of Syrah opens with aromas of yeast chewing gum and pie cherry. The palate is on the full side but it's not flabby or awkward. Citric flavors are more generic than specific while this finishes with a burst of preserving acidity and then a lasting note of spent yeast.,Chile,Rosé
Gritty aromas of charred beef and tar lead to a tight drawing palate with hard tannins. Balsamic flavors of roasted plum blackberry and green herbs finish tight grating and with residual tannic bite. If you know Chilean Carmenère this fits the mold.,Chile,Carmenère
Hailing from coastal Leyda this wine has a bouquet that comes with an oceanic edge plus grass and green fruit aromas. The palate is crisp and lively with good acidity bolstering citrus lychee melon and grass flavors. The finish is cleansing.,Chile,Sauvignon Blanc
Clean and minerally on the nose but it's not very aromatic or exciting. The palate is fresh and tangy with orange lemon green apple and mild spice flavors. The longer the wine sits the more its acidity and raciness take over. Crisp and bone dry.,Chile,Chardonnay
This Pinot Noir is raisiny on the nose but maintains a fresh outlook. The palate runs heavy almost to the point of feeling flat while the flavor profile offers ripe berry cherry and raisin notes. It's plump and soft on the finish with a resin-like taste. Only 48 cases produced.,Chile,Pinot Noir
Jammy slightly reduced aromas of blueberry cassis green herbs and mint take some getting used to. In the mouth this Malbec-led blend of six grapes is deep and bold while herbal spicy flavors of black fruits and green herbs lead to a toasty peppery dark-tasting finish. Drink through 2017.,Chile,Red Blend
A little blocky and foxy at first but the nose forges ahead with sweet baked aromas that set up a saturated dark-fruit palate of prune sweet spice and fudge. Accents of earth moss herbs brown sugar and coffee give this a thick somewhat simple and clumsy personality.,Chile,Carmenère
This smells murky and soupy with a palate that feels angular and high in acidity. It tastes mulchy and tart delivering a barbecue note on the finish.,Chile,Shiraz
An herbal cherry aroma comes with notes of leather and mulchy earth. It feels and tastes dried out with tart grating acidity and medicinal herbal flavors on the finish.,Chile,Merlot
Made for Oops by VIA Wines this oddball Chardonnay features 14% white Carmenère meaning there's red fruit (without the skins) added to the blend to give bulk and texture. The result is a slightly waxy sticky white with peach pit aromas followed by basic apple and citrus flavors. You don't taste any red fruit but you do know that it's not 100% varietal Chardonnay. Drink now.,Chile,Chardonnay
Comfortable enough with common aromas of black fruit spice earth and leather. Given that production on this wine is now a whopping million cases anything palatable should be considered a success. Casillero has reasonably good plum cassis and brambly flavors with a hint of oak in support. The mouthfeel is narrow but overall the wine tastes real.,Chile,Cabernet Sauvignon
This dark concentrated Syrah is loaded with spicy black-fruit aromas. The mouthfeel is hard and tannic as well as fresh racy and juicy. Spiced plum cherry and blackened gritty flavors turn peppery on a tannic finish.,Chile,Syrah
Earthy gritty berry aromas come with an animal/leather element and notes of tar and tire rubber. In the mouth this is generous and ripe as it holds onto the variety's patented herbal character. Dark flavors of coffee and char blend into heat on the finish.,Chile,Carmenère
Citrus melon and saline aromas are quiet in nature. This is fresh and a bit on the plump side with fruity almost sweet flavors of honeydew lime and mango. A flush easy finish could benefit from more direct acidity. Drink immediately.,Chile,Sauvignon Blanc
Over the last few years Herencia has risen to the top of Chile's Carmenère kingdom. This vintage opens with rich aromas of vanilla barrel spice pepper herbs and black fruits. A full dense palate is balanced while this tastes dark and spicy with lightly baked black-fruit flavors that finish intense and oaky. Drink through 2022.,Chile,Carmenère
Lean aromas of bell pepper and green fruits are not overly intense. This is linear juicy and tight in frame. Flavors of lime scallion caper and dry cider finish racy and scouring. Good mouthfeel is a plus.,Chile,Sauvignon Blanc
Berry fruit aromas come with hints of rubber latex and mild spice. The palate on this Cab Franc-Carmenère blend is tight and bouncy with rubbery tannins and earthy flavors of black plum red berry and resiny oak. This is solid and keeps its form on the finish.,Chile,Cabernet Franc-Carmenère
The nose on this Cabernet is scratchy and closed with cherry cassis and herbal aromas. The palate is forward and medium in body with rough tannins and rubbery oak-based flavors of blackberry and herbs. Overall this wine is drying but solid with freshness but also a clampy feel.,Chile,Cabernet Sauvignon
Snappy chiseled and defined by fresh grass and citrus aromas on the nose this is textbook Casablanca SB. Flavors of tarragon sage lime and citrus peel finish with a lasting wave of mild pyrazinic bitterness and tangy citrus.,Chile,Sauvignon Blanc
A very good value-priced Cab with fresh tomato herb black cherry blackberry and earthy aromas. The palate is healthy and stands up to scrutiny while the flavors of cassis berry chocolate and pepper are correct and more than pleasant. Long and lasting on the finish. The best Root: 1 Cab to date.,Chile,Cabernet Sauvignon
Dark and charred like so many of TerraNoble's red wines. There's lemon peel black coffee black fruit and herbs on the nose while the palate shows tomato herbs smoked meat basic black fruit and a snappy texture. A little more racy than most but heavily oaked and blackened.,Chile,Carmenère
Dark muscular and very oaky especially early on where it smells charred and bacony with black fruit in the background. Airing unleashes chewy roasted berry plum carob and herbal flavors and throughout there is a strong oak element. Finishes big and thick with toast and leafy herbal Pinot Noir nuances.,Chile,Pinot Noir
Pricy for Chilean SB but clean good and spunky with citrus nettle and bell pepper on the nose. The palate is wet fresh and snappy and the flavors exhibit grassiness along with tropical fruit and lime. Cleansing and crisp on the finish and ready to drink now.,Chile,Sauvignon Blanc
Opens with mild green minty aromas that suggest tobacco Middle Eastern spice and basic black fruit. The palate seizes control with grabby tannins and monolithic but unwavering grape and black-fruit flavors. Hard and tannic especially on the finish with lingering lemony oak. A blend of Cabernet Sauvignon Carmenère Monastrell and Tempranillo.,Chile,Red Blend
The bouquet blends tropical aromas with popcorn and the palate is toasty as well but not cloying or thick. Flavors of green banana orange melon and pineapple are spicy and zesty and there's pineapple and woodspice to the finish. A natural-yeast Chard with balance and zest to go along with tropical sweetness.,Chile,Chardonnay
Meaty dark and concentrated with a smoky bouquet that shows spice and berry aromas. The palate is soft lush and deep with heavy flavors of blackberry tea spice and pepper. Finishes easy and chocolaty with good length and drive. Drink now through 2012.,Chile,Red Blend
Warm baked and dusty on the nose with black cherry and cassis along with brick dust olive and spice aromas. The palate is healthy and full with punchy snappy flavors of cherry raspberry and spiced marmalade. Creamy sweet and rooty on the finish. Drink now through 2015.,Chile,Cabernet Sauvignon
Piercing and pungent up front with sharp-edged aromas of nettle lime arugula and green bean. The palate is lithe and crisp with green-leaning flavors of lettuce lime and passion fruit. Lasting on the finish with bell pepper and celery. A prime example of cool-climate Chilean SB.,Chile,Sauvignon Blanc
Aromas of forest floor and herbal berry fruits set up a wide grabby palate that's neither heavy nor overdone. Inky oaky berry flavors are limited in scope and complexity while this finishes strong with latent spice notes.,Chile,Carmenère
Aromas of tree bark pencil eraser olive plum and berry fruits are solid. This is quite good for Maule Syrah. The acidity is lively and bracing while plum and apple-skin flavors finish raw and grating.,Chile,Syrah
Deep pure cassis and red berry aromas are integrated and thorough. This Bordeaux-style blend of Cabernet Sauvignon Petit Verdot Cabernet Franc and Merlot is racy tight and hard-driving with bold berry pepper baking spice and chocolate flavors. A toasty peppery finish is juicy forward and long. Drink through 2020.,Chile,Bordeaux-style Red Blend
This mature PN from a hot vintage isn't showing much life. Earthy raisiny aromas aren't fresh while wood tannin and acid are keeping it afloat. Flavors of brown sugar and decayed berry fruits finish stale. This is on its very last legs.,Chile,Pinot Noir
Aromas of sweet corn and melon are not convincing. This has little in the way of mouthfeel or substance; flavors of candied fruits taste like corn and wheat while the finish is spineless.,Chile,Chardonnay
This top-shelf Cabernet never fails and in this warm year the wine is dark in color with lush yet precise aromas of graphite fresh blackberry baking spices and forest floor. A deep palate is just racy enough while spicy flavors of cassis include integrated herbal notes. Closing flavors of coffee and chocolate along with soft tannins make this approachable now and best through 2022.,Chile,Cabernet Sauvignon
Dense baked and mulled blackberry and cassis aromas include bold but classy oak notes. This feels seamless except for raring tough tannins while flavors of toast graphite and spiced blackberry finish smooth and chewy with a sense of lushness despite lasting residual tannins. Drink through 2025.,Chile,Cabernet Sauvignon
Smooth spicy blackberry cassis and licorice aromas include hints of heat and fresh asphalt prior to a full wide palate. Spice black currant plum and peppery flavors end with toast chocolate and a light warmth reminiscent of the nose. Drink this stacked Cabernet through 2024.,Chile,Cabernet Sauvignon-Cabernet Franc
Dark in color and extracted on the nose with prune cassis and chocolate aromas this Carmenère-led blend feels full and plush not tannic and rough. Blackberry balsamic notes and spice flavors finish long ripe and spicy. Drink this meaty wine through 2023.,Chile,Red Blend
Charred smoky aromas are crisp and toasty. A muscled palate is tightly structured while flavors of wood spice and lightly herbal berry fruits play out on the finish. Drink this blend of 85% Cabernet Sauvignon and 15% Carmenère through 2020.,Chile,Cabernet Sauvignon-Carmenère
Another fine and dandy old-vine dry-farmed Cauquenes Carignan from Odfjell—one of the pioneers of this revived Maule varietal wine. Dark and lush on the nose this is jammed with notes of berry mineral vanilla and smoky lemony oak. It tastes fleshy like berry marmalade and finishes with flavors of dark chocolate burnt toast and fine herb. Drink now –2017.,Chile,Carignan
Pure cherry and cassis aromas carry the bouquet to a juicy and tightly wound palate that bears cassis chocolate and toast flavors. This hits the spot with a long lightly herbal and solid finish. Drink now through 2015.,Chile,Cabernet Sauvignon
If you know San Pedro's Elqui Syrahs then this should seem familiar. Particular aromas of tea herbs grilled meat stewed plum and horse are what we've come to expect from this wine. Flavors of herbal stewy plum and cured meat finish heavy creamy and warm.,Chile,Syrah
Rustic earthy aromas of tomato herbs and leather are not textbook clean but they stir interest. This is hard and tannic with gritty raw flavors of spicy herbal plum. On the finish this smacks down hard with tannic bite along with chocolate and herbal spice flavors.,Chile,Cabernet Sauvignon
Smoky and plummy with Carmenère's characteristic herbal tang. This is soft and creamy in texture very approachable in style with some chocolaty notes on the finish.,Chile,Carmenère
Bright cherry and berry aromas get support from grainy lightly lactic oak. This Syrah is balanced and fresh with a mild sensation of tartaric acid on the palate. Flavors of loamy berry fruits are mildly spicy but lack serious complexity.,Chile,Syrah
Crisp plum and berry aromas are solid and clean. This feels tight fresh and well built. Cherry plum and berry aromas are not overly complex nor is the finish which is nice but not overly demanding or intense. Drink this blend of Carmenère Petit Verdot and Syrah through 2019.,Chile,Red Blend
The nose on this wine is fresh but nothing unusual or exciting. In the mouth it's racy with acidity and flavors of green veggies citrus fruits and pith. Things turn more pithy and mildly bitter on the finish where tarragon and rosemary accents take over.,Chile,Sauvignon Blanc
A bit soupy and soft on the nose with mulch oak and tobacco along with dark-fruit aromas. This marks the second vintage of Intriga a new Maipo Valley Cabernet Sauvignon from MontGras and it's full and chewy with raspberry flavors and size. Shows a touch of syrupy thickness on the finish. Weighty and definitely ripe. Drink soon.,Chile,Cabernet Sauvignon
Definitely a nice package for the money. The nose is pretty and dark with black cherry as the lead aroma. The palate is zesty and healthy with cherry flavors good acidity and overall balance. Nice flavors and texture for a value-priced wine. Mixes 78% Syrah with 22% Cabernet.,Chile,Syrah-Cabernet
With 14% Malbec and Syrah thrown in this Carmenère is fresh tightly wound and balanced. It starts with controlled herbal-vegetal aromas along with cherry raspberry and tarragon. The palate has olive and spice to accent deep black fruit and the finish is a little oaky but not what you'd call overdone or drying. Full-bodied and textbook for the variety and appellation.,Chile,Carmenère
Earthy and dark to start with blackberry cassis mineral and leather on the nose. Feels rich and slightly syrupy with herb sweet berry and brown sugar flavors. Impressive for its power and density; finishes smooth with mild tannins and caramel flavors. Drink now through 2015.,Chile,Cabernet Sauvignon
Smooth and earthy on the nose with tobacco cola and restrained red-berry aromas. Has depth and the right amount of snap to the palate which features classic flavors of herb spice tobacco cedar and berry fruit. Long and barrel-driven on the finish but cuddly in feel and ready to drink.,Chile,Cabernet Sauvignon
Opens with sensational aromas that span plum berry and chocolate. Feels compact yet juicy with a lot of depth and purity. Wild berry mint and bacon-like flavors work the palate while the finish is defined by tannins woody spice and natural body. A smooth bruiser to enjoy with venison or steak.,Chile,Syrah
Among Chilean Pinot Noirs this is one of the best. The bouquet blends leather berry plum and spice aromas with fine results. Feels full elegant and complete on the palate with spicy layered flavors of dry berry fruit and peppercorn. Smooth and unwavering on the finish. Drink now through 2014.,Chile,Pinot Noir
Attractive and very much in the vein of what is really good Chilean Sauvignon Blanc. The bouquet is all about green herbs cactus pad passion fruit and citrus. The palate transitions from lemon-lime to tropical pineapple and passion fruit while the finish is breezy and zesty. It is a lean 100% Casablanca style of SB and while it's a step down from the great 2007 the drop is not a big one.,Chile,Sauvignon Blanc
Novas is probably more elevated and serious than Emiliana's basic Natura SB but in the end run it's more or less a similar high-quality white wine. After an opening that's tight and strained Novas spreads out to show lime passion fruit and green melon flavors. The feel is ripe and full and it finishes grassy and green with acid-driven length. Drink now for maximum freshness and intensity.,Chile,Sauvignon Blanc
Attractive fern and pine aromas mix with scents of green melon and cactus to create a very likable true-to-Casablanca bouquet. The palate is agile and balanced with lively green apple pineapple and grapefruit flavors. With some tang and kick to the mouthfeel and finish this sophisticated white ranks up there in terms of value for money.,Chile,Sauvignon Blanc
Clean and fresh and also varietally correct as it unloads full but accurate aromas of cucumber passion fruit and lime. Casas del Bosque does very well with Sauvignon Blanc. This wine has all the citrus tang and style you could ask for but it shows good depth and complexity as well which is what pushes it up to the next level. For $14 this wine delivers plenty.,Chile,Sauvignon Blanc
Spicy tarry gritty aromas of asphalt and olive drive the bouquet. This feels ripe and full bodied with stewed plum herb and cardamom flavors. Toast dark-berry flavors and mint are the key notes to the finish.,Chile,Carmenère
This is a ripe wine with prune raisin coconut and cedar-sawdust aromas. Dense in the mouth with giant tannins this dry-farmed bear features sun-baked slightly stewed flavors of berry fruits along with minty oak. A hard-driving finish is woody and tannic. Drink through 2018.,Chile,Carignan
Fresh almost minerally berry aromas avoid any sense of weight oak or heaviness. The blend of Garnacha Carignan and Mourvèdre is uncommon in Chile and it comes across with a sinewy fresh mouthfeel and lightly herbal flavors of plum and cassis along with modest oak. Spice tobacco coffee and chocolate flavors carry the finish on this complex Maule Valley blend. Drink through 2020.,Chile,Red Blend
Rustic aromas of baked berry fruits black olive herbs and eucalyptus lead to a forward fairly tannic palate. An herbal flavor profile includes olive blackberry plum and spice notes while the finish on this Cabernet-led blend tastes peppery and herbal which is nothing unusual for Chile. Drink through 2020.,Chile,Red Blend
Grassy citrus aromas blend with sulfur and yeasty dusty notes. A moderate acidic cut meets flavors of melon quince and citrus fruits to finish quick and mild. Drink now before this turns for the worse.,Chile,Sauvignon Blanc
Notes of rubber and matchbook are about all that stand out on the nose of this rosé of Pinot Noir. A harmless-feeling palate tastes snappy but generic with hints of citrus and tropical fruits but nothing specific.,Chile,Rosé
Limited berry aromas come with a note of cinnamon and/or clove. This is basic fair and balanced on the palate while dried cherry and modest spice notes finish quietly.,Chile,Carmenère
Aromas of graphite tobacco cedary oak plum and mixed berry fruits are harmonious and appealing. This Cabernet-led blend feels fresh with good layering on the palate. Flavors of coffee vanilla chocolate spice and cassis end with chocolaty berry richness floating on top of bright acidity. Drink through 2022.,Chile,Red Blend
Full roasted-plum aromas outweigh any nuance the nose might hold while this is medium to full in body with enough viscosity. Flavors of spicy cherry and plum are barrel-driven with notes of clove and cinnamon backing the wine's fruit. A finish based on toasty oak serves this well.,Chile,Pinot Noir
Earthy gritty berry aromas are a touch horsey. This coastal Syrah feels tight and concentrated with rugged tannins. Peppery toasty plum and wild-herb flavors finish spicy and drying with some back-end heat.,Chile,Syrah
This extracted dark-colored Cabernet Sauvignon opens with olive herb and blackberry aromas. In the mouth it's round as a ball but not overly dense or tannic. Burnt charred flavors of plum and berry come with a saucy savory accent while this finishes with herbal notes and unresolved tannins. Drink through 2020.,Chile,Cabernet Sauvignon
A Starbucks special meaning the nose is all about roasted toasted coffee aromas. Somewhere amid the darkness there's black fruit and with time it emerges despite the fact that it's a coffee-dominant wine. Good feel depth and texture keep it positive.,Chile,Carmenère
Earthy stalky aromas of tomato olive and savory meaty berry fruits set up a chewy dense palate. Blackberry cassis and mixed-spice flavors finish with chocolate and clove notes. This Cabernet-led blend is bold oaky rustic and powerful.,Chile,Red Blend
Floral and mineral aromas tell you this isn't run of the mill and seeing that it's from the emerging Elqui Valley in northern Chile it's not. Aromas of violet petals and slate rise above the norm while the palate is rich slick and tastes of truffle licorice pepper and blackberry. Fairly stylish and ready to drink now. Good complexity for a value-priced wine.,Chile,Syrah
Now that TerraNoble is getting its Syrah from warm Colchagua the end product is dark roasted and statuesque. There's a lot of beef and structure to this affordable Syrah and the flavors of plum blackened toast and tea are manly to say the least. Finishes with a lot of roasted oomph including spice espresso and mint chip flavors.,Chile,Syrah
This dark heavily oaked Cabernet is lemony on the nose but also full of typical cassis and black fruit aromas. The palate is muscular with firm tannins. Flavors of black fruit are matched by resiny oak leading to additional notes of licorice on the finish. Drink through 2017.,Chile,Cabernet Sauvignon
Jammy raspberry and plum aromas are primary and fresh on the nose. This ripe round wine is sure to be a party-pleaser. Solid cassis berry and spice flavors finish pure with ripeness and proper balance.,Chile,Cabernet Sauvignon
Compact and dense on the nose this Merlot is in good shape from head to toe. Dark berry and spice aromas hold up to airing. This is full on the palate with spicy baked berry flavors. Barrel contact brings a strong savory spice element on the finish.,Chile,Merlot
Superripe and dark with black currant black cherry and prune aromas. Jammy and deep in the mouth but with enough acidity to preserve liveliness. Tastes sweet and ripe then layered and medicinal on the finish. Pushes the envelope on ripeness.,Chile,Cabernet Sauvignon
Weak aromas of peach pit and tropical fruit are none too exciting while the palate is dilute and carries flavors of orange and lime. Too narrow to warrant a recommendation with barely any concentration.,Chile,Sauvignon Blanc
Progressive wineries like Emiliana enjoy experimenting yet not all new wines are successful. A case in point: this sweet warm mushy Gewürztraminer from the Cachapoal Valley. Compared to global benchmarks this is clumsy and sweet with mealy apple and peach flavors. And it finishes candied and fat. Too much of a stretch with no staying power.,Chile,Gewürztraminer
